District code,State name,District name,Total_Education,Graduate_Education,Higher_Education,Secondary_Education,Middle_Education,Primary_Education,Below_Primary_Education,Literate_Education,Illiterate_Education,Age_Group_0_29,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Male_Literate,Female_Literate,Households,Households_with_Internet,Households_with_Computer,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Telephone_Mobile_Phone_Both,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Type_of_latrine_facility_Pit_latrine_Households,Type_of_latrine_facility_Other_latrine_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Not_having_bathing_facility_within_the_premises_Total_Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_to_2_persons,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_None_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Above_Rs_545000,Total_Power_Parity,Pending cases,Power_Parity_Rs_240000_330000,Household_size_4_persons_Households,Power_Parity_Rs_150000_240000,Urban_Households,Married_couples_3_Households,Household_size_3_persons_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Housholds_with_Electric_Lighting,Rural_Households,Married_couples_5__Households,Households_with_Radio_Transistor,Main_source_of_drinking_water_Other_sources_Households,Location_of_drinking_water_source_Near_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Total_Education,Main_source_of_drinking_water_River_Canal_Households,Married_couples_4_Households,Married_couples_1_Households,Power_Parity_Rs_425000_545000,Population,Male,Female,Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,LPG_or_PNG_Households,Other_Education,Age_Group_30_49,Age_Group_50,Age not stated
1,JAMMU AND KASHMIR,Kupwara,6.818171558691839,1.2549083410932143,3.317473777428747,3.713828844163187,4.771325169722491,5.423651757609585,4.732633827526196,4.557862110983995,9.557394335652827,9.71391631265099,5.098506109931808,5.676241992933354,3.0798667179910537,3.150659036445897,10.537336360204323,9.764775334337996,3.4233256009081487,4.622234021414448,1.705124601132601,3.2875936494801867,6.159847680313351,4.313562620246358,5.020907087625696,0.17684738210174525,0.6652297232133026,0.2359272040711705,0.7202395013281525,0.17155718509577977,0.08837739109941474,0.35869074542296825,3.208112206216831,4.385426871032532,2.8473062768942174,2.409962924670862,5.463786067441972,0.04430110702588317,1.2670824622933259,0.24612391676000706,1.1313686429122776,31.62104412104412,5.265111961944541,4.02711544348429,2.963799494740239,4.815901435722129,2.1898456657705494,2.1507808171157827,15.745451098462107,1.2456560572058797,2.5623497122007732,0.47232573557989077,1.1764314200171697,3.3607032959094054,9.458212044405583,15.025484764542938,6.175160560058086,2.410817495093954,14.850917431192661,0.08201651265788178,1.8599471435932384,1.714766167678593,2.8094575799721837,1.5030306435640086,0.6552838024919243,0.7543777195810485,2.614764341121826,1.1793100777909509,0.3544617431484236,3.5643136987365223,10.099298700537098,0.4403189337141497,5.899394885538052,5.750122027752598,4.76986224374703,1.011531585970743,6.818171558691839,62.76377454084864,1.1272031698319442,4.553680631385236,0.1316309069369488,7.869279868587653,8.084973464973526,7.625768276462106,5.343933344685974,0.42597253000353946,17.488544521773747,0.13620299694664928,0.30052463014004444,0.00987950003742235,0.011349119279243624,0.0013744047770081111,0.8847836003112506,3.226830780397079,5.504045790601032,4.668002329863003,1.09015693548862
2,JAMMU AND KASHMIR,Badgam,7.04229056335145,1.6125551990048888,3.4559907766726683,3.2931812877493893,3.9690310458132574,4.314823876191203,5.335377874452788,4.2197712960751845,11.301582108032711,8.13681710736114,4.782487050853071,4.834137793949255,4.219574766155279,3.3584182819994655,8.297825679869339,8.205386591702233,5.4586644291989534,2.983005905749066,6.244970569111623,2.378884399933477,4.5245716117712345,3.5180491588427745,5.191574370445014,0.46393427404381726,0.745725557300757,0.7824905910449255,1.2271550539697538,0.5549039925000664,0.2954840045849119,0.8683740612998703,1.4150871872630781,3.738549885851429,3.5777434622568127,3.7086417584679134,5.110801100191219,0.043655945273079054,1.3679791295934762,1.431055827389023,0.8103654675460937,63.45720720720721,4.128089105464671,3.3960691458561536,1.1611441310302093,1.1615443890704371,0.13756647078040926,0.5122522135401943,6.637717401607858,2.8124325751079073,3.7312604730617074,0.5306234425367504,0.7177016425332157,2.6863501624362502,13.08725055064251,7.445983379501385,1.9125467506227845,2.427484609801339,11.525229357798166,0.09841981518945815,1.7718531323238536,1.264332134773281,2.4756606397774688,1.1234802885256956,0.6645131518227965,0.8831279684581379,3.491853912715441,0.690143467975536,0.6951114581344038,3.869767457825799,10.240234267931836,0.4700702130191598,6.62680178013348,0.916951398089394,4.229095542171863,0.08560566004481708,7.04229056335145,33.09436352121596,1.5439267659516327,4.037775049793253,0.36856653942345663,6.8149630547439335,6.7866275606223825,6.84695297657202,4.079767005896688,0.11599284309243116,15.635530240317038,0.11929780144327105,0.29832436052651917,0.007035401541800763,0.0017460183506528653,0.0002114468887704786,0.8450946720688329,3.456166613743013,4.964175196675518,4.631513635372276,0.4497541442157642
3,JAMMU AND KASHMIR,Leh(Ladakh),1.0611256666014401,0.3575314693464507,0.7454687480419226,0.8059644840464619,0.8545201010338739,0.8100633333884724,0.8160467329633069,0.8495652860869716,1.0764746568174255,1.1432255281291885,1.6711082502164034,1.5837957755336336,1.7603619176275866,1.4533733654479024,1.7978972793209769,0.8893651822545395,2.0600167810078474,0.1339624546807866,0.2188808322621763,1.306757568013759,1.3685162421189547,0.8508800761325332,1.5033645638338478,0.133215744522837,0.2721164202641934,0.04759180764469785,1.029498965921198,0.12231040463963504,0.17336251870208427,1.080519734662246,0.14063684609552693,0.8475999752464097,0.4421067174563074,0.8329640880706501,1.010680779809531,0.06401438280600917,0.31789360930184346,0.0014737959087425573,1.7309674467190193,3.0564218064218065,0.12298410488455738,0.256327981795181,0.7680095038701138,0.19439114423364484,0.012595499470595415,0.7010957448011489,3.771379047292326,0.16598160238233706,0.31834035439924585,0.03086349191833749,0.7402933112014249,0.8588012453069582,1.1904946374613998,0.9739612188365652,0.9071325705254122,0.9968009892739053,1.8922018348623855,0.0929520476789327,0.40224057975832317,2.1635663717815143,0.611961057023644,0.6211590192373875,0.1384402399630826,0.5675534432084406,0.844080824275576,0.42444837383908207,0.4221829628632616,0.7401429055049898,2.353388126736198,0.19040818755206473,1.5085708844827466,1.3640959486786137,1.3814692572050769,0.03461993604753632,1.0611256666014401,15.490816972767574,0.29717174477387626,0.7201653068191324,0.18428326971172831,1.206918750092675,1.3464612064835284,1.049379507879586,1.1397613344384534,0.2625270262750751,0.40481581485831447,0.05271857175935013,0.05860230287730867,13.267719482074694,0.029973315019540855,0.005709065996802923,0.7627541209405494,0.2898200091734333,1.2805809454243946,1.094088258916697,0.18402379059564822
4,JAMMU AND KASHMIR,Kargil,1.2050101068466108,0.17752530759706775,0.8209095504045648,0.8393130298665217,0.996494558043636,1.0182753831139066,0.9940592235063932,0.9333480679994337,1.314514844281082,1.4153404654428259,1.1545891429491002,1.1845834957567714,0.9711284182969826,0.7363164738630676,2.2963896852728443,1.354101429473941,0.8159518286362963,0.3064442048412158,0.26222782061213673,0.9791364980468987,1.2262283627898791,0.8233480436716895,1.3306243990369666,0.05453954697363535,0.12719860575140204,0.03813596408967578,0.4452082861288814,0.06186686099692943,0.044456505825766206,0.4291835949574263,0.21796815769522365,0.7472805781563038,0.5100274214288748,0.7827999568881207,0.8677872935838166,0.1017205030254502,0.11402705551044384,0.5541472616872015,0.19690043586176295,6.831831831831832,0.0858568279382759,3.5443336763333666,0.4638269943644103,0.05260894526705043,0.00019680467922805335,0.3652482670496308,1.8362621142292257,0.10749649801271119,0.548162340346255,0.0043437507144326835,0.36218011980718606,0.531896880637012,1.512357635391648,2.6958448753462605,0.940160540000615,0.6365762520497863,2.2362385321100917,0.03827437257367817,0.3557003473895916,0.7893906698321053,0.5006954102920723,0.23205669375399463,0.11075219197046607,0.2524985960571373,1.4759625586494707,0.1812479372214673,0.2317742889095756,0.6789577586499107,2.5733011559138754,0.49387123646316794,1.0805969616331048,0.7905655114706087,1.1616843288557195,0.12400231638844826,1.2050101068466108,6.690310322989233,1.052056291843148,0.5858761238806409,0.03948927208108464,1.2730571055649527,1.3262398215334903,1.213015416539142,1.0481866101805957,0.11864312467050747,2.299252714721577,0.04839212362104481,0.0628418467667843,3.0126487538357907,0.008148085636380038,0.0004228937775409572,0.18363116799484827,0.20564619781349705,1.0969225340295532,0.9102914254691088,0.16267703088655303
5,JAMMU AND KASHMIR,Punch,4.440319752795894,0.8055275738284887,2.4659868918472974,2.2824676338240475,3.304414909132051,3.8432251843733174,4.3536546042384145,3.245865384420611,5.410705904432323,4.931329340244569,3.592285110712396,3.499039434478014,3.5278253227747123,1.8635490398067833,8.826860509247345,4.803162782850577,5.356497704950397,2.5719976937284397,0.8433349713630911,1.815593170838556,3.557371222172951,2.706198007847042,4.074125153980583,0.08030077979948014,0.42298282628973694,0.06611275741775761,0.4172471809903052,0.2283949914411183,0.04927709079482519,0.5952976599487203,0.7759666413949962,3.3077195418228325,0.8490731591365361,0.7356518831064859,4.572539427341712,0.054623695070749156,1.1820804754582679,0.041266285444791606,0.06147361025731097,1.4018826518826517,0.7843137254901961,0.4329914397518598,5.0664574250818575,7.691602433545734,3.483836431695,14.076193276265647,8.783182944609704,0.9352140565772195,2.22425942855514,0.053496719325118305,2.132177908201727,4.070049645213944,6.960342671197246,2.189473684210526,5.168676648155849,2.0035484824860883,6.708715596330276,0.06561321012630543,1.0454930771404352,7.378747909013331,1.3908205841446455,2.2229401807850877,0.3230272265805261,0.49593530527353097,1.3533586400396105,1.9662543260729675,0.2844150288960314,2.6988399278993542,8.422923989133109,0.08925383791503035,3.710628134797404,4.664075029635311,4.177173873318689,0.1938716418662034,4.440319752795894,3.4224192526915767,0.29717174477387626,4.012567568484092,0.10530472554955903,4.311289505348392,4.2948959928580654,4.329797288583215,3.181218891911803,0.37406831416277203,9.161387407056672,0.0767543947499353,0.6004052789297889,0.012424219744031136,0.0029100305844214423,0.0002114468887704786,0.7356426699580527,0.9496015604917363,3.387470511010868,3.192578584727946,0.5182109943173453
6,JAMMU AND KASHMIR,Rajouri,6.253929050113434,1.0717289938001724,2.991231990910344,3.2665222719229523,5.193238502288825,4.901627543754145,5.543059113419722,4.444898838339631,7.992041799025741,6.54704108759307,6.475118785372133,5.4934654486321195,8.566976307662264,3.317049615177263,16.07582932693511,5.352255335878945,13.476827402398698,1.9557704021968214,0.9991266225614637,3.187048484774734,4.8889052479899355,3.8407322805516855,5.902959826718122,0.1561919792053472,0.7871125663362878,0.17215887067531915,0.7539856627022962,0.6889804872679518,0.16104324600337797,0.6709051326355209,1.2335102350265352,3.730845962365281,0.9641050020616486,0.7885215951927593,6.331260569738903,0.11964166282556474,1.5504224184101865,0.04274008135353416,0.08805054702268977,1.6155578655578655,2.0048729550991995,0.4643409051512704,7.4454315791017525,11.40653617028708,3.5407129839919076,41.95266472923004,22.254973209892704,1.0315940038530074,2.017139680865576,0.06149836537802062,3.539519962711856,5.906177544288995,7.903131191269411,1.873130193905817,8.580452523296753,3.00895185354445,7.740825688073394,0.08201651265788178,1.3064508086365374,1.1259594031246347,1.6133518776077886,3.624551373446927,0.3876326718966313,0.5686577591675277,0.8370075212788531,3.33160628449104,0.47327337315801454,4.119571051788121,12.498071777063007,0.09520409377603237,4.76097433247474,8.3449550240569,5.166080027422707,0.2882896492685752,6.253929050113434,5.499683343888536,0.1878671949719907,5.865543520773,0.28958799526128737,5.808376162778292,5.888259286577263,5.718190515238486,4.425694355562022,2.5456470846042163,8.558104144109926,0.07875737999915074,0.8325068906004482,0.028291295561709454,0.007566079519495749,0.00031717033315571794,1.3385789798492043,1.530249648435728,4.724561736864445,4.336949409804475,0.7567058269293053
7,JAMMU AND KASHMIR,Kathua,5.96527696135532,1.403701895949515,3.984577661000948,4.53510491908394,5.079907177157293,4.4137005876574325,5.418138067424573,4.800455184145439,5.979766089316689,5.78644838830635,4.4611928461903325,4.803511498092695,3.1378084002527484,3.634311162085541,5.766409542855025,6.334397227753347,6.863728345096491,1.7562518526722457,0.8480559304903145,2.671570715244736,4.976678117069405,4.4201151614584555,5.938032989778481,0.3348960267359822,0.7735700282115117,1.3852420070770346,1.1297732740043678,2.183748372673825,0.48777178279515376,1.707617008123356,1.5299469294920396,3.968951925412549,2.032558173460811,1.1546620929043259,5.9925076060414595,0.15620082881779845,6.510253796582644,0.029475918174851148,0.23041048656593624,1.3513513513513513,1.6916115558649494,0.595639842588802,5.1672893803784685,9.836126409908818,1.6956691162289075,10.152318704555992,7.314353809973053,2.848629816670007,3.1165693762076474,0.7859902608536614,2.3471554711076337,6.23308190895894,7.3176238807291725,4.30803324099723,3.9075965666957724,2.7320626898572544,7.970183486238532,0.15309749029471267,1.5557734820404567,1.473210863202028,1.9193324061196104,3.7463389966216925,0.49838486386709735,1.0871990617211935,4.239266262702474,2.3700518667800003,2.185964865301014,4.694951710502434,11.561306015673106,0.8389860764012852,2.5958130959028565,4.876751969876578,4.611702791293794,0.4853085580481909,5.96527696135532,2.1785940468651046,2.568656920344309,4.930153799547396,0.6844807160721338,5.573478763575316,5.560181808323777,5.588490626690304,4.7307205972996025,6.196186233336068,1.364482292680326,0.14645828142263229,0.5125554897263508,0.0035925454681535814,0.004656048935074307,0.0002114468887704786,1.8319514878317102,2.2701727327254675,4.9391897560927465,5.084681358961826,0.5623767040603009
8,JAMMU AND KASHMIR,Baramula,8.882808272560426,2.7857684359195374,4.839907599637416,5.343547006831745,6.564528440959105,6.243159871316202,5.994492543384689,6.24629054405804,11.548066010057916,10.292215126188472,6.770883066048161,7.421108297258233,4.407683486701254,4.7820499675487484,11.64026833271414,10.717194571169237,5.675435565865456,5.069074136206835,3.23686124886536,4.293957960662148,7.343518180527229,5.720364214958887,7.171480681707314,0.8582435945042703,1.347292694749925,1.0441283118896683,2.428518398889269,0.7728613233435433,0.5836478616242158,1.1868149462631006,2.9021986353297953,5.827997068299281,5.1959124007415936,5.024441153393575,7.508711237339773,0.07885310312050403,1.6903647138093676,0.9712315038613454,1.4559539271468387,66.3475975975976,11.14514444831187,5.130985442783538,1.8253150540275949,3.0716202027081603,0.553611562668514,2.4707971006298552,9.169574382608774,4.289071937773601,5.797418663886746,0.3557303216661713,1.7809369121707264,5.8635083972429864,13.324995296018772,12.737950138504155,3.5942988643459723,3.278582757601011,22.19036697247706,0.3499371206736289,3.490517427654871,0.6314119925547679,5.285118219749652,2.6589595375722546,1.430549146285187,1.5893055444131519,5.587909367410935,1.9199743339645359,0.3324752493388196,5.928866474358232,13.420622870190119,1.005593240509342,8.898584561795369,2.2819189735722754,5.14011919299612,0.7345720975904525,8.882808272560426,36.33692210259658,2.548162317256456,5.930031718471997,1.0267210741082005,9.114154711130448,9.117235951508231,9.110676083286656,6.626210426658723,0.35131719568084413,20.375361146815994,0.11993875672302,0.7926337119943674,0.02095651523089589,0.008439088694822183,0.0007400641106966753,1.8459264625649556,4.89316982444468,7.392574943983258,6.79350782320733,0.9885758030798222
9,JAMMU AND KASHMIR,Bandipore,3.5629014058909205,0.7339289691070194,1.5576061121252502,1.7655403975761108,2.3319805818661288,2.5207424984698923,2.659569069236709,2.244140663244533,5.397644533469928,4.080802403549896,3.3234975239089852,3.0144600717844696,3.868454627547154,1.9125503019836354,7.424712926254568,3.698810834943184,2.786831844430186,2.6777832430477964,4.395642125547471,1.7167972790440147,2.549507818537107,1.8956395696641561,2.7106663044190253,0.22860193093204606,0.39931502601559543,0.4411424534553684,0.5392154499568531,0.21672378913648285,0.1044460076629447,0.31555001100755853,1.486732373009856,2.208500163971486,1.8845742770606941,1.864411365391362,2.919124684862778,0.024229408049754875,0.7010936231233047,0.10611330542946412,0.682102859678396,31.999306999307,3.770739064856712,1.8411356620453865,0.9438604339074033,1.4428166960272606,0.14228978308188256,3.0294120972939966,8.417555532484416,0.992877740941654,1.7292895522874288,0.1918108868110011,0.6099750540416495,2.1386498940044207,5.330219482230019,5.445429362880887,2.723537175185966,1.3742304900669373,0.34403669724770647,0.0,0.0747968020211758,1.0756877476664526,0.055632823365785816,0.9706487614044206,0.018458698661744346,0.5701843135815597,2.162072949331573,0.7260980435179432,0.1751872551624217,1.9509308852409497,5.132642615192994,0.3986671426871356,3.609164097004778,2.6148804128024543,2.3055993487107167,0.7830400080570032,3.5629014058909205,29.70234325522483,1.26724962426561,2.289133201757063,0.03948927208108464,3.5463539909230875,3.5409588755682364,3.552444914120503,2.26054893054846,0.09682132570296999,8.114712188212483,0.045828302502049056,0.02978413745137941,0.006586333358281566,0.004947051993516452,0.0002114468887704786,0.4957203037376908,1.1431509231397337,2.7905035584202786,2.540258585644067,0.432087860318582
10,JAMMU AND KASHMIR,Srinagar,11.916187068221557,7.0303945019656435,11.088628322465569,8.741431826999834,8.531977431121621,9.247827300324271,6.941784450296648,10.17377302957414,10.232231835376592,11.20924683067511,9.063189789276853,9.90600105913462,5.974691266865024,8.409771655644775,7.674760241976104,12.632752690912863,1.2070480232959873,0.8475873728374631,4.312166984616111,9.239634163654875,9.40337100088949,8.71447962120764,7.247873292187086,3.8091812105458596,4.281846797189734,3.477640446628406,8.336748123472383,3.7769149311683727,3.932169013279819,5.471534898408018,1.4082638362395754,6.916397274915983,7.047920781203942,7.274109497963939,8.389218709923616,0.36810062229435286,0.7954250963183083,0.12232506042563226,0.5118949124809917,56.963213213213216,78.42905209421046,2.9877884611838295,0.23356347463251337,0.26719231953057976,0.007478577810666027,0.06219397736139225,0.49878801283758467,8.607167382397298,8.36959243883121,0.1582039733888114,2.1288486096611487,9.370280148913066,10.98451560061539,7.726315789473684,0.37641187883682714,5.1057824135057395,14.392201834862387,2.4331565421838266,5.151006432524974,1.2327866709732718,10.570236439499304,5.337584896649084,2.9441624365482233,8.370747449760932,7.443472520217857,2.8440991166237364,0.11014387764234318,7.09691924633286,0.2879904538622465,1.4935142211115078,12.828010025400724,0.2763056969527927,0.9397570015488284,0.04028501649167863,11.916187068221557,1.6947435085497151,3.671949719907091,6.645562465947292,4.870343556667105,11.182752708191607,11.101710838287232,11.274246545282354,9.098934614261225,0.4880648412613275,25.00953251282561,0.2200078997738229,0.6540167263422718,0.042661477434323775,0.021534226324718672,0.0002114468887704786,7.720838140724641,16.186573521035893,10.844328983604616,9.907122999172888,1.2513617760504077
